Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-06-23
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-11-30;7;22,2;1007,5;27,3;6,3;2,3;
2012-12-31;20;171,6;1007,3;26,5;6,8;2,1;
2013-01-31;27;413,6;1009;25,6;6,9;2,2;
2013-02-28;24;163;1008;25,3;9;1,9;
2013-03-31;23;78,6;1008,8;25,7;6,7;2,1;
2013-04-30;26;116,8;1009,2;25,9;6,5;1,9;
2013-05-31;20;39;1009,6;25,5;5,8;1,5;
2013-06-30;27;45;1010;25,7;6,3;1,6;
2013-07-31;25;50;1010,9;25,5;7,2;1,6;
2013-08-31;22;12;1009,6;26,4;7,2;2;
2013-09-30;7;4;1009,4;27,2;7;2,4;
2013-10-31;8;53,2;1008,8;27,1;7,2;2,5;
2013-11-30;10;67,6;1007,2;26,7;6,8;2,2;
2013-12-31;24;259,4;1008,1;25,9;6,4;2,1;
2014-01-31;28;322;1009;25,1;7,3;2;
2014-02-28;13;null;null;24,8;6,7;null;
2014-03-31;null;null;null;null;7,7;null;
2014-04-30;null;null;null;null;6,9;null;
2014-05-31;null;null;null;null;5;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;3;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;1;null;1010;27;7;2,5;
2014-10-31;7;15;1008,8;27,4;7,5;2,5;
2014-11-30;6;4,6;1008;27,3;6,8;2,4;
2014-12-31;17;105,6;1008,4;26,5;6,7;2,3;
2015-01-31;26;170,6;1009,5;25,9;7,1;2,2;
2015-02-28;1;null;null;null;5,8;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;1;null;null;null;null;null;
2015-08-31;9;12,6;1010,3;27;6,3;2,1;
2015-09-30;0;0;1010;27,4;5,9;2,4;
2015-10-31;4;6,8;1009,5;27,6;6,5;2,5;
2015-11-30;1;6;1008,2;27,8;6,9;2,5;
2015-12-31;22;181;1009,7;26,8;7,1;2,6;
2016-01-31;26;413,8;1009,8;25,8;8,1;2,4;
2016-02-29;29;372,6;1009,4;25,8;7,1;2,1;
2016-03-31;22;305;1010,1;26;6,7;2;
2016-04-30;28;539;1008,9;25,9;6,7;1,7;
2016-05-31;26;220,4;1010,3;26,4;5,4;1,6;
2016-06-30;5;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;null;null;null;null;null;
2016-11-30;6;32,4;1007,6;27,7;8,2;2,4;
2016-12-31;null;null;null;null;7,4;null;
2017-01-31;2;null;null;null;6,9;null;
2017-02-28;null;null;null;null;8,1;null;
2017-03-31;null;null;null;null;6,4;null;
2017-04-30;null;null;null;null;6,5;null;
2017-05-31;null;null;null;null;7,1;null;
2017-06-30;null;null;null;null;5,5;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;6;null;null;null;6,8;null;
2017-09-30;12;12,4;1010;27,5;6,4;2,3;
2017-10-31;10;11;1008,6;27,5;6,5;2,5;
2017-11-30;10;16,4;1007,6;27,4;6,5;2,4;
2017-12-31;17;46,4;1008,2;26,1;7;2,1;
2018-01-31;null;null;1008,9;24,9;7;1,8;
2018-02-28;null;null;1009,2;24,7;6,1;1,9;
2018-03-31;25;383,2;1009;25,4;7,6;2,1;
2018-04-30;4;null;null;null;null;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;null;null;null;null;null;

